"10:35, 5 мая 2020"
155 370,19 865,19 865
1,Москва ,80 115,5 714,7 870,816
2,Московская область,15 761,822,576,127
3,Санкт-Петербург ,5 572,226,1 468,37
4,Нижегородская область,3 026,174,398,16
5,Мурманская область,2 101,127,154,4
6,Дагестан,2 086,128,325,14
7,Краснодарский край,1 437,97,443,21
8,Тульская область,1 368,75,157,9
9,Ростовская область,1 353,90,147,11
10,Калужская область,1 309,92,161,12
11,Брянская область,1 287,37,313,12
12,Свердловская область ,1 277,133,156,1
13,Рязанская область,1 226,89,89,5
14,Татарстан ,1 208,91,149,3
15,Северная Осетия,1 160,91,158,7
16,Ленинградская область,1 149,53,258,3
17,Башкортостан,1 136,34,255,14
18,Курская область,1 062,65,134,4
19,Ингушетия,966,48,190,26
20,Владимирская область,944,48,43,12
21,Мордовия,923,56,121,5
22,Тамбовская область,909,67,125,2
23,Красноярский край ,868,45,162,12
24,Чувашия,844,49,149,8
25,Ярославская область,829,40,101,5
26,Ставропольский край,824,36,188,18
27,Кабардино-Балкария,820,81,136,3
28,Ямало-Ненецкий АО,820,108,131,3
29,Челябинская область ,768,86,96,3
30,Орловская область,756,75,135,7
31,Марий Эл,750,33,444,4
32,Новосибирская область ,746,65,179,9
33,Саратовская область,737,78,106,3
34,Оренбургская область,728,28,217,4
35,Тверская область,709,29,183,8
36,Хабаровский край,699,31,172,7
37,Коми,698,16,129,7
38,Воронежская область,667,31,140,12
39,Пермский край,648,18,218,9
40,Кировская область,644,26,90,4
41,Приморский край ,635,88,105,7
42,Чеченская Республика,615,32,306,8
43,Липецкая область,610,47,112,2
44,Самарская область,595,17,64,6
45,Тюменская область,589,28,186,4
46,Волгоградская область,578,62,109,12
47,Пензенская область,569,30,193,8
48,Калининградская область,566,42,123,11
49,Алтайский край,555,21,109,3
50,Ульяновская область,544,16,89,4
51,Астраханская область,535,31,108,6
52,Смоленская область,534,14,87,5
53,Белгородская область,524,39,71,5
54,Ивановская область,517,32,99,6
55,Ханты-Мансийский АО,508,41,150,4
56,Карачаево-Черкесия,453,12,36,2
57,Бурятия,407,34,125,4
58,Новгородская область,399,27,43,4
59,Камчатский край,347,8,40,
60,Удмуртия,332,18,66,10
61,Якутия,331,20,44,4
62,Калмыкия,322,1,53,5
63,Хакасия,318,16,32,8
64,Архангельская область,305,6,112,1
65,Костромская область,278,12,64,3
66,Вологодская область,230,7,77,
67,Забайкальский край,215,17,78,
68,Псковская область,214,18,24,8
69,Иркутская область,200,23,65,4
70,Омская область ,191,30,39,3
71,Адыгея,190,5,107,7
72,Кемеровская область,166,,25,4
73,Еврейская АО,148,3,15,
74,Томская область,147,19,29,1
75,Магаданская область,131,15,56,2
76,Крым,111,6,39,
77,Амурская область,98,14,14,1
78,Севастополь,98,7,15,2
79,Карелия,91,2,17,
80,Курганская область,55,3,19,
81,Тува,51,4,29,
82,Ненецкий АО,47,,1,
83,Республика Алтай,37,1,2,
84,Сахалинская область,29,1,20,
85,Чукотский АО,25,1,2,
